 *  Executing task: C:\Users\DarkRymit\.platformio\penv\Scripts\platformio.exe device monitor 

--- Terminal on COM3 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
 (SPI_FAST_F
32 ms: Setting things up ...
33 ms:   Fan tacho detection sucessfully initialized.
34 ms:   Fan PWM sucessfully initialized.
1035 ms:   Temperature sensor sucessfully initialized.
1035 ms: Settings done. Have fun.
71060 ms: fan rpm = 3630, fan pwm = 200, temp = 34.900002, mode = 1
72060 ms: fan rpm = 3720, fan pwm = 200, temp = 34.700001, mode = 1
73060 ms: fan rpm = 3690, fan pwm = 200, temp = 34.700001, mode = 1
74060 ms: fan rpm = 3690, fan pwm = 200, temp = 34.400002, mode = 1
75060 ms: fan rpm = 3780, fan pwm = 200, temp = 34.400002, mode = 1
76060 ms: fan rpm = 3660, fan pwm = 200, temp = 34.200001, mode = 1
77060 ms: fan rpm = 3660, fan pwm = 200, temp = 34.200001, mode = 1
78060 ms: fan rpm = 3780, fan pwm = 200, temp = 33.900002, mode = 1
79060 ms: fan rpm = 3720, fan pwm = 200, temp = 33.900002, mode = 1
80060 ms: fan rpm = 3750, fan pwm = 200, temp = 33.700001, mode = 1
81035 ms: Mode not changed. Still 1
81060 ms: fan rpm = 3780, fan pwm = 200, temp = 33.700001, mode = 1
82060 ms: fan rpm = 3750, fan pwm = 200, temp = 33.500000, mode = 1
83060 ms: fan rpm = 3690, fan pwm = 200, temp = 33.500000, mode = 1
84060 ms: fan rpm = 3660, fan pwm = 200, temp = 33.299999, mode = 1
85060 ms: fan rpm = 3660, fan pwm = 200, temp = 33.299999, mode = 1
86060 ms: fan rpm = 3600, fan pwm = 200, temp = 33.099998, mode = 1
87060 ms: fan rpm = 3690, fan pwm = 200, temp = 33.099998, mode = 1
88060 ms: fan rpm = 3660, fan pwm = 200, temp = 32.900002, mode = 1
89060 ms: fan rpm = 3630, fan pwm = 200, temp = 32.900002, mode = 1
90060 ms: fan rpm = 3720, fan pwm = 200, temp = 32.500000, mode = 1
91035 ms: Mode not changed. Still 1
91060 ms: fan rpm = 3690, fan pwm = 200, temp = 32.500000, mode = 1
92060 ms: fan rpm = 3660, fan pwm = 200, temp = 32.000000, mode = 1
93060 ms: fan rpm = 3630, fan pwm = 200, temp = 32.000000, mode = 1
94060 ms: fan rpm = 3630, fan pwm = 200, temp = 31.400000, mode = 1
95060 ms: fan rpm = 3630, fan pwm = 200, temp = 31.400000, mode = 1
96060 ms: fan rpm = 3600, fan pwm = 200, temp = 30.600000, mode = 1
97060 ms: fan rpm = 3570, fan pwm = 200, temp = 30.600000, mode = 1
98060 ms: fan rpm = 3660, fan pwm = 200, temp = 29.900000, mode = 1
99060 ms: fan rpm = 3690, fan pwm = 200, temp = 29.900000, mode = 1
100060 ms: fan rpm = 3630, fan pwm = 200, temp = 29.299999, mode = 1
101035 ms: Mode changed to 0
101060 ms: fan rpm = 3630, fan pwm = 170, temp = 29.299999, mode = 0
102060 ms: fan rpm = 3540, fan pwm = 170, temp = 28.900000, mode = 0
103060 ms: fan rpm = 3330, fan pwm = 170, temp = 28.900000, mode = 0
104060 ms: fan rpm = 3360, fan pwm = 170, temp = 28.600000, mode = 0
105060 ms: fan rpm = 3390, fan pwm = 170, temp = 28.600000, mode = 0
106060 ms: fan rpm = 3450, fan pwm = 170, temp = 28.400000, mode = 0
107060 ms: fan rpm = 3420, fan pwm = 170, temp = 28.400000, mode = 0
108060 ms: fan rpm = 3480, fan pwm = 170, temp = 28.299999, mode = 0
109060 ms: fan rpm = 3450, fan pwm = 170, temp = 28.299999, mode = 0
110060 ms: fan rpm = 3450, fan pwm = 170, temp = 28.200001, mode = 0
111035 ms: Mode not changed. Still 0
111060 ms: fan rpm = 3450, fan pwm = 170, temp = 28.200001, mode = 0
112060 ms: fan rpm = 3390, fan pwm = 170, temp = 28.100000, mode = 0
113060 ms: fan rpm = 3450, fan pwm = 170, temp = 28.100000, mode = 0
114060 ms: fan rpm = 3360, fan pwm = 170, temp = 28.000000, mode = 0
115060 ms: fan rpm = 3360, fan pwm = 170, temp = 28.000000, mode = 0
116060 ms: fan rpm = 3450, fan pwm = 170, temp = 28.000000, mode = 0
117060 ms: fan rpm = 3360, fan pwm = 170, temp = 28.000000, mode = 0
118060 ms: fan rpm = 3390, fan pwm = 170, temp = 27.900000, mode = 0
119060 ms: fan rpm = 3420, fan pwm = 170, temp = 27.900000, mode = 0
